order_date,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used,%_chain_res,%_S_resturant_orders,%_L_resturant_orders,orders_per_rest,%_CASH
31,1,3,360,10.0,82,130.0,39,171,55,263,331.0,0,29,120.0,82.0,158.0,699.0,504.0,1275.0,0.10833333333333334,0.1527777777777778,0.4388888888888889,0.3333333333333333,4.390243902439025,0.9194444444444444
32,2,4,332,10.0,78,145.0,43,174,57,230,308.0,0,24,117.0,92.0,123.0,709.5,493.5,1260.0,0.12951807228915663,0.1716867469879518,0.3704819277108434,0.35240963855421686,4.256410256410256,0.927710843373494
33,3,5,360,10.0,81,135.0,57,185,52,249,330.0,0,30,82.0,95.0,183.0,680.0,533.0,1252.0,0.15833333333333333,0.14444444444444443,0.5083333333333333,0.22777777777777777,4.444444444444445,0.9166666666666666
34,4,6,326,10.0,78,150.0,44,151,54,235,301.0,0,25,93.0,92.0,141.0,670.0,545.0,1226.0,0.13496932515337423,0.1656441717791411,0.4325153374233129,0.2852760736196319,4.17948717948718,0.9233128834355828
35,5,0,332,10.0,75,167.0,33,164,54,264,307.0,0,25,87.0,97.0,148.0,684.0,517.0,1259.0,0.09939759036144578,0.16265060240963855,0.4457831325301205,0.2620481927710843,4.426666666666667,0.9246987951807228
36,6,1,356,10.0,81,139.0,42,167,45,272,331.0,0,25,111.0,89.0,156.0,643.0,506.0,1193.0,0.11797752808988764,0.12640449438202248,0.43820224719101125,0.31179775280898875,4.395061728395062,0.9297752808988764
37,7,2,365,10.0,85,145.0,41,178,51,270,333.0,0,32,82.0,113.0,170.0,702.5,534.0,1307.5,0.11232876712328767,0.13972602739726028,0.4657534246575342,0.22465753424657534,4.294117647058823,0.9123287671232877
38,8,3,310,10.0,69,132.5,40,142,48,203,281.0,0,29,100.0,70.0,140.0,633.5,505.5,1193.5,0.12903225806451613,0.15483870967741936,0.45161290322580644,0.3225806451612903,4.492753623188406,0.9064516129032258
39,9,4,375,10.0,85,145.0,42,177,54,261,342.0,0,33,95.0,103.0,177.0,707.5,508.0,1260.0,0.112,0.144,0.472,0.25333333333333335,4.411764705882353,0.912
40,10,5,378,10.0,87,138.5,55,190,75,268,346.0,0,32,90.0,109.0,179.0,664.5,532.0,1247.0,0.1455026455026455,0.1984126984126984,0.47354497354497355,0.23809523809523808,4.344827586206897,0.9153439153439153
