Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,79.000000,79.538460,77.692307,78.538460,77.326561,13421707
2019-02-05,78.846153,81.923080,78.230766,81.769234,80.507484,13367003
2019-02-06,82.076920,83.923080,80.230766,80.538460,79.295692,15663245
2019-02-07,80.153847,80.307693,76.692307,77.384613,76.190514,14131546
2019-02-08,77.000000,77.692307,73.384613,75.461540,74.297127,15411435
2019-02-11,75.923080,78.076920,75.615387,77.153847,75.963287,9189375
2019-02-12,77.461540,78.076920,76.230766,76.769234,75.584618,8725899
2019-02-13,76.769234,80.153847,76.538460,79.769234,78.538345,12861810
2019-02-14,79.153847,79.230766,76.538460,77.230766,76.039032,12140323
2019-02-15,77.846153,79.076920,77.384613,77.615387,76.417717,10184785
2019-02-19,77.153847,78.076920,76.538460,77.923080,76.720665,8263892
2019-02-20,77.615387,77.923080,77.000000,77.692307,76.493454,6324318
2019-02-21,77.153847,78.461540,76.923080,77.153847,75.963287,6439316
2019-02-22,77.307693,78.307693,76.846153,78.230766,77.023621,6596369
2019-02-25,89.000000,90.384613,82.923080,83.230766,81.946449,37730212
2019-02-26,86.320000,87.199997,84.239998,85.279999,83.964073,12998825
2019-02-27,86.639999,87.440002,85.120003,87.040001,85.696899,13604175
2019-02-28,86.559998,86.800003,82.639999,83.120003,81.837402,11357763
2019-03-01,83.599998,84.160004,80.400002,82.160004,80.892227,11125025
2019-03-04,82.559998,84.160004,81.760002,83.040001,81.758644,8720363
2019-03-05,83.040001,84.559998,76.639999,79.120003,77.899132,22347950
2019-03-06,74.080002,77.120003,72.400002,72.879997,71.755379,25722213
2019-03-07,72.639999,75.599998,72.559998,75.599998,74.433441,15935138
2019-03-08,74.639999,77.440002,74.239998,76.639999,75.537323,10939838
2019-03-11,75.599998,80.160004,74.639999,79.199997,78.060493,13256300
2019-03-12,79.440002,81.120003,77.279999,78.080002,76.956619,12421188
2019-03-13,77.839996,80.400002,77.599998,80.160004,79.006668,9270563
2019-03-14,82.400002,84.000000,81.599998,82.400002,81.214455,16733850
2019-03-15,82.320000,83.599998,79.199997,79.680000,78.533577,23649263
2019-03-18,79.919998,82.480003,79.760002,81.599998,80.425957,11455938
2019-03-19,81.760002,82.720001,81.120003,81.519997,80.347107,6835113
2019-03-20,81.040001,82.639999,80.959999,81.760002,80.583649,6046250
2019-03-21,81.599998,82.639999,81.040001,82.160004,80.977921,6314863
2019-03-22,81.760002,81.919998,79.360001,79.839996,78.691284,10195438
2019-03-25,79.680000,81.040001,78.480003,79.040001,77.902794,6215963
2019-03-26,79.599998,81.199997,79.440002,80.800003,79.637482,5953100
2019-03-27,80.639999,81.440002,79.199997,79.680000,78.533577,6893538
2019-03-28,79.680000,80.080002,78.400002,79.120003,77.981651,5649925
2019-03-29,79.839996,80.239998,79.360001,79.919998,78.770126,6064888
2019-04-01,80.160004,81.040001,80.000000,80.800003,79.637482,6418250
2019-04-02,80.480003,82.239998,80.320000,81.919998,80.741348,6468525
2019-04-03,82.080002,82.239998,80.000000,80.800003,79.637482,7017438
2019-04-04,80.800003,80.959999,79.760002,80.239998,79.085526,5129263
2019-04-05,80.559998,81.120003,79.839996,80.080002,78.927841,5407150
2019-04-08,76.080002,76.320000,73.199997,75.919998,74.827682,22001025
2019-04-09,74.800003,75.279999,72.959999,73.760002,72.698761,10396338
2019-04-10,74.000000,74.080002,72.639999,73.279999,72.225670,6733925
2019-04-11,72.959999,74.080002,72.800003,72.959999,71.910271,6851850
2019-04-12,73.199997,73.680000,71.919998,72.000000,70.964081,8557650
2019-04-15,72.080002,72.400002,70.320000,71.839996,70.806366,10368338
2019-04-16,72.320000,73.519997,71.919998,73.120003,72.067970,7529500
2019-04-17,73.279999,73.440002,72.480003,72.959999,71.910271,6008138
2019-04-18,73.040001,74.800003,72.800003,74.800003,73.723801,6438638
2019-04-22,74.000000,74.800003,73.440002,74.559998,73.487259,8390313
2019-04-23,74.400002,74.959999,73.760002,74.639999,73.566101,5063075
2019-04-24,74.480003,74.800003,73.680000,74.559998,73.487259,3598138
2019-04-25,73.760002,73.839996,71.839996,72.959999,71.910271,7797250
2019-04-26,72.959999,76.720001,72.879997,76.559998,75.458473,9286213
2019-04-29,76.559998,77.919998,76.320000,77.839996,76.720062,8251188
2019-04-30,81.839996,84.239998,79.680000,81.360001,80.189423,22148188
2019-05-01,81.199997,83.360001,80.720001,80.800003,79.637482,12421800
2019-05-02,81.199997,83.199997,80.639999,82.000000,80.820206,9903225
2019-05-03,82.400002,84.000000,81.919998,84.000000,82.791428,8601938
2019-05-06,81.919998,83.919998,81.680000,83.440002,82.239494,5453975
2019-05-07,82.720001,82.879997,80.480003,80.879997,79.716339,7111775
2019-05-08,80.639999,82.000000,80.639999,81.279999,80.110558,5918663
2019-05-09,80.879997,81.680000,80.160004,80.320000,79.164375,7437475
2019-05-10,80.160004,81.440002,78.160004,81.040001,79.874016,7891275
2019-05-13,78.800003,80.559998,78.559998,78.959999,77.823952,7517000
2019-05-14,79.519997,82.800003,79.279999,82.559998,81.372154,8815063
2019-05-15,81.199997,83.120003,80.959999,82.080002,80.899063,6714550
2019-05-16,81.760002,82.320000,80.480003,81.040001,79.874016,6813188
2019-05-17,80.080002,81.279999,79.839996,80.000000,78.848984,4632813
2019-05-20,79.279999,80.480003,78.239998,79.040001,77.902794,6525888
2019-05-21,79.680000,79.680000,78.400002,79.680000,78.533577,7551675
2019-05-22,79.599998,80.959999,79.040001,79.199997,78.060493,6455513
2019-05-23,78.480003,78.639999,75.760002,76.480003,75.379631,7105188
2019-05-24,76.959999,77.440002,75.519997,75.599998,74.512283,5941638
2019-05-28,75.279999,76.320000,74.160004,74.879997,73.802658,9026463
2019-05-29,74.480003,75.120003,73.199997,74.959999,73.881485,5573500
2019-05-30,74.959999,76.080002,74.320000,75.760002,74.669975,6316425
2019-05-31,74.720001,75.760002,74.400002,75.519997,74.433441,5792238
2019-06-03,74.400002,76.320000,74.000000,76.239998,75.143082,5909250
2019-06-04,76.879997,80.000000,76.720001,80.000000,78.848984,7675588
2019-06-05,80.559998,80.720001,78.559998,79.120003,77.981651,5145425
2019-06-06,79.120003,80.000000,78.160004,79.360001,78.218193,4816000
2019-06-07,79.199997,80.400002,78.559998,79.839996,78.691284,5135575
2019-06-10,80.400002,82.800003,80.000000,80.400002,79.243225,6533388
2019-06-11,80.800003,81.599998,79.680000,80.959999,79.795166,4869713
2019-06-12,80.639999,83.120003,80.160004,82.239998,81.056747,6871263
2019-06-13,82.879997,84.160004,82.000000,82.480003,81.293312,7764463
2019-06-14,82.239998,82.720001,81.440002,81.839996,80.662514,4294388
2019-06-17,81.599998,81.919998,80.160004,80.400002,79.243225,5756288
2019-06-18,80.879997,83.440002,80.720001,83.360001,82.160629,9195450
2019-06-19,83.760002,84.879997,82.639999,82.720001,81.529839,7577088
2019-06-20,83.760002,85.599998,83.760002,85.040001,83.816483,8245188
